Player, Games,/dgs/assets/icons/kills.svg Kills,/dgs/assets/icons/assists.svg Assists,/dgs/assets/icons/knockdown.svg Knocks,/dgs/assets/icons/damage.svg Dmg dealt,/dgs/assets/icons/damage.svg Dmg taken,/dgs/assets/icons/damage.svg Dmg diff,/dgs/assets/icons/ring.svg Ring dmg,/dgs/assets/icons/revives.svg Rez.,/dgs/assets/icons/revives.svg Rspn.,K/D,KA/D,Surv. time
COL Monsoon,40,47,56,56,35254,28532,6722,1353,5,1,1.15,2.51,11h 34m 54s
C9 ChaoticMuch,40,47,34,55,29278,23749,5529,758,3,1,1.27,2.19,11h 13m 35s
E36 Cinap,34,46,30,53,19975,22847,-2872,1378,6,0,1.28,2.11,9h 44m 22s
SDW Zhouzhou,30,45,19,45,15072,17759,-2687,1089,8,0,1.36,1.94,7h 54m 51s
LG Sweet,30,44,22,48,19666,23701,-4035,1502,2,1,1.47,2.2,8h 38m 12s
NRG Nocturnal,34,44,13,57,28933,23949,4984,1188,2,1,1.38,1.78,10h 22m 9s
GN OhSlab,30,44,23,51,16361,13392,2969,684,2,1,1.57,2.39,8h 2m 25s
SSG Xynew,34,43,48,57,28223,19078,9145,1775,5,0,1.48,3.14,9h 52m 29s
FNC Lykq,40,43,50,54,27482,24659,2823,3201,4,0,1.05,2.27,11h 23m 49s
TLAW lYanYal,40,43,30,45,23650,23167,483,876,4,1,1.08,1.83,10h 17m 25s
GG Lufka,34,42,46,51,21460,25236,-3776,668,32,2,1.45,3.03,10h 53m 57s
FLCN Zer0,34,41,45,47,21445,27145,-5700,424,9,0,1.24,2.61,9h 5m 19s
FUR Vaxlon,34,41,47,57,20662,23643,-2981,1010,16,1,1.14,2.44,10h 34m 29s
VKG 951,34,41,25,53,27012,23730,3282,1333,5,2,1.17,1.89,9h 48m 36s
GLD Jeskoesk,40,39,38,49,29362,26125,3237,1712,10,2,0.85,1.67,11h 50m 39s
E36 Aimbot,34,39,30,45,20619,23270,-2651,1562,10,1,1.11,1.97,9h 46m 23s
C9 sauceror,40,39,57,46,23782,17578,6204,807,4,2,1.03,2.53,11h 11m 28s
TSM Reps,34,39,86,47,22470,18300,4170,1062,6,2,1.11,3.57,10h 25m 50s
NAVI iHenchman,30,38,31,50,20917,18018,2899,438,4,2,1.52,2.76,8h 21m 2s
NOC mohziin,40,38,43,50,22113,23806,-1693,647,0,0,0.84,1.8,10h 23m 29s
FUR Keon,34,38,40,48,25717,22845,2872,1386,3,3,1.12,2.29,10h 40m 57s
FUR ImMadness,34,38,52,44,22407,20083,2324,1213,3,7,1.12,2.65,10h 35m 28s
EXO Slayers,40,37,36,47,19656,19860,-204,460,6,0,0.93,1.83,10h 24m 44s
FNC satuki,40,36,65,45,27685,23842,3843,2463,7,7,0.95,2.66,11h 7m 30s
VKG QQ,34,36,30,39,21482,20745,737,1585,14,3,1.03,1.89,9h 52m 6s
ALL Hakis,40,35,92,33,23102,22233,869,1585,10,8,0.9,3.26,10h 32m 28s
COL KIMCHI,40,35,52,39,19337,20600,-1263,922,7,6,0.92,2.29,11h 20m 24s
C9 Naughty,40,35,49,41,20161,19856,305,900,4,0,0.95,2.27,11h 8m 15s
FLCN Genburten,34,34,53,44,24819,19723,5096,603,5,1,1.1,2.81,9h 14m 10s
HAO wqtagashi,30,34,25,44,17441,13690,3751,620,3,0,1.13,1.97,7h 55m 56s
NOC Atinum,40,34,67,40,20016,18177,1839,851,1,10,0.89,2.66,10h 30m 3s
DF Pite,40,33,25,37,17609,21520,-3911,1620,7,1,0.87,1.53,11h 3m 58s
EXL Kurev,30,33,30,43,23212,21343,1869,894,5,1,1.18,2.25,8h 27m 31s
LG Sikezz,30,33,27,45,21373,21051,322,822,7,2,1.14,2.07,8h 22m 17s
BLD Shooby,34,33,31,42,20602,20151,451,838,20,1,1.06,2.06,10h 37m 21s
FAK lzhidan,24,32,19,38,14021,17760,-3739,2424,5,4,1.28,2.04,6h 30m 43s
NAVI KIND4,30,32,39,39,22366,21787,579,834,6,0,1.28,2.84,8h 20m 16s
EXL Azazel,30,31,28,35,18080,18071,9,1240,3,1,1.15,2.19,8h 30m 35s
MKS ASIAZXD,40,31,32,40,22306,22695,-389,2248,6,0,0.78,1.58,10h 54m 48s
HAO Right,30,29,21,39,12792,14539,-1747,365,7,0,0.97,1.67,7h 50m 11s
BLD knoqd,34,29,35,33,19782,20931,-1149,1469,1,0,0.88,1.94,10h 22m 22s
TLAW jaguaresl,40,28,33,38,17314,21341,-4027,1649,7,2,0.72,1.56,10h 14m 37s
SSG Phony,34,27,67,34,15368,11930,3438,1461,6,1,0.9,3.13,9h 42m 18s
